capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week, ,capital-gain,hours-per-week,Reward,Average Success Rate,Proportions Difference,L1 Norm
0,-7, ,0,0, ,-696,0, ,-305,22, ,230,1,1105.54,1.0,0.0,52.46
-1,0, ,0,-1, ,222,42, ,-2,0, ,0,0,1105.51,1.0,0.0,52.89
0,21, ,224,0, ,0,12, ,0,-1, ,7,0,1105.5,1.0,0.0,52.97
0,19, ,226,0, ,0,10, ,0,-1, ,9,0,1105.5,1.0,0.0,52.98
0,73, ,-1,19, ,135,0, ,18,29, ,-64,-5,1105.49,1.0,0.0,53.1
189,0, ,0,-1, ,-2,0, ,-9,-1, ,15,76,1105.49,1.0,0.0,53.06
0,0, ,0,-2, ,215,52, ,-2,0, ,0,0,1105.45,1.0,0.0,53.48
0,2, ,0,44, ,32,22, ,8,11, ,150,0,1105.44,1.0,0.0,53.62
0,62, ,-1,21, ,146,0, ,20,20, ,-68,-5,1105.42,1.0,0.0,53.93
-68,0, ,207,10, ,1,52, ,0,0, ,0,0,1105.42,1.0,0.0,53.89
229,0, ,3,36, ,-244,-2, ,0,0, ,0,0,1105.4,1.0,0.0,54.17
0,0, ,0,-3, ,-2,-2, ,-115,-2, ,210,56,1105.38,1.0,0.0,54.36
0,68, ,-1,20, ,144,0, ,24,20, ,-67,-5,1105.38,1.0,0.0,54.38
0,54, ,-1,15, ,91,0, ,26,16, ,-44,-6,1105.38,0.99,0.0,41.39
0,0, ,0,-2, ,224,48, ,-2,0, ,0,0,1105.36,1.0,0.0,54.59
0,2, ,84,0, ,-1,2, ,0,-2, ,5,0,1105.29,0.98,0.01,19.0
22,22, ,190,26, ,-60,2, ,4,-2, ,8,1,1105.28,1.0,0.0,55.58
0,75, ,-1,20, ,150,0, ,20,23, ,-61,-5,1105.28,1.0,0.0,55.56
-1,0, ,0,-1, ,236,42, ,-2,0, ,0,0,1105.27,1.0,0.0,55.69
0,0, ,2,-2, ,0,-6, ,-22,0, ,85,0,1105.27,0.98,0.01,19.14
0,0, ,0,-2, ,226,52, ,-2,0, ,0,0,1105.27,1.0,0.0,55.68
0,2, ,0,39, ,36,24, ,7,9, ,163,0,1105.25,1.0,0.0,55.88
0,0, ,0,-2, ,226,54, ,-2,0, ,0,0,1105.24,1.0,0.0,56.01
