priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay, ,priors_count,length_of_stay,Reward,Average Success Rate,Proportions Difference,L1 Norm
-36.0,-799.0, ,-4.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.3,0.82,0.0,9.99
-38.0,-799.0, ,-13.0,-43.0, ,-4.0,-30.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.3,0.83,0.0,13.57
-37.0,-728.0, ,-12.0,-43.0, ,-4.0,-31.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.3,0.83,0.0,13.57
-37.0,-706.0, ,-11.0,-38.0, ,-4.0,-39.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.27,0.83,0.0,13.68
-34.0,-605.0, ,-14.0,-97.0, ,-6.0,-11.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.27,0.83,0.0,13.67
-36.0,-639.0, ,-12.0,-44.0, ,-4.0,-35.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.26,0.83,0.0,13.73
-36.0,-743.0, ,-12.0,-44.0, ,-4.0,-34.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.26,0.83,0.0,13.72
-35.0,-774.0, ,-11.0,-43.0, ,-4.0,-35.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.26,0.83,0.0,13.71
-37.0,-756.0, ,-14.0,-41.0, ,-4.0,-36.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.25,0.83,0.0,13.76
-38.0,-663.0, ,-13.0,-38.0, ,-4.0,-41.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.25,0.83,0.0,13.78
-33.0,-663.0, ,-13.0,-70.0, ,-6.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.22,0.84,0.01,13.08
-27.0,-304.0, ,-14.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.21,0.82,0.0,10.34
-25.0,-479.0, ,-7.0,-155.0, ,-4.0,-14.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.19,0.83,0.0,14.0
-35.0,-336.0, ,-24.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.19,0.82,0.0,10.41
-25.0,-350.0, ,-15.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.19,0.82,0.0,10.41
-38.0,-621.0, ,-6.0,-14.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.18,0.82,0.0,10.46
-35.0,-571.0, ,-6.0,-139.0, ,-5.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.83,0.0,14.08
-38.0,-497.0, ,-4.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.82,0.0,10.5
-32.0,-485.0, ,-6.0,-15.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.82,0.0,10.48
-33.0,-799.0, ,-5.0,-15.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.82,0.0,10.5
-38.0,-759.0, ,-11.0,-153.0, ,-4.0,-11.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.83,0.0,14.07
-35.0,-263.0, ,-5.0,-20.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.17,0.82,0.0,10.49
-38.0,-311.0, ,-10.0,-14.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.16,0.82,0.0,10.54
-35.0,-703.0, ,-5.0,-17.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.15,0.82,0.0,10.59
-38.0,-727.0, ,-6.0,-16.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.14,0.82,0.0,10.61
-36.0,-680.0, ,-12.0,-238.0, ,-5.0,-101.0, ,-4.0,-15.0, ,-4.0,-4.0,1071.11,0.84,0.0,17.9
-38.0,-601.0, ,-6.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.11,0.82,0.0,10.74
-34.0,-553.0, ,-7.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.11,0.82,0.0,10.74
-33.0,-799.0, ,-12.0,-27.0, ,-4.0,-51.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.09,0.84,0.01,13.61
-31.0,-780.0, ,-10.0,-138.0, ,-4.0,-20.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.09,0.83,0.0,14.42
-35.0,-799.0, ,-10.0,-117.0, ,-4.0,-25.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.07,0.83,0.0,14.48
-38.0,-516.0, ,-5.0,-24.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.07,0.82,0.0,10.91
-31.0,-799.0, ,-10.0,-156.0, ,-4.0,-18.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.07,0.83,0.0,14.48
-35.0,-512.0, ,-5.0,-193.0, ,-4.0,-20.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.06,0.83,0.0,14.51
-27.0,-706.0, ,-13.0,-207.0, ,-7.0,-100.0, ,-5.0,-15.0, ,-4.0,-6.0,1071.05,0.84,0.0,18.15
-38.0,-398.0, ,-4.0,-28.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.05,0.82,0.0,10.98
-38.0,-372.0, ,-4.0,-30.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.03,0.82,0.0,11.06
-36.0,-351.0, ,-12.0,-45.0, ,-5.0,-17.0, ,-4.0,-19.0, ,-4.0,-4.0,1071.03,0.84,0.01,13.85
-35.0,-326.0, ,-20.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.02,0.83,0.01,10.31
-38.0,-296.0, ,-22.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.02,0.83,0.01,10.28
-35.0,-641.0, ,-4.0,-29.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.02,0.82,0.0,11.09
-38.0,-312.0, ,-22.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.02,0.83,0.01,10.3
-28.0,-312.0, ,-18.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.01,0.83,0.01,10.34
-31.0,-698.0, ,-4.0,-30.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.01,0.82,0.0,11.15
-33.0,-334.0, ,-20.0,-7.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.01,0.83,0.01,10.32
-32.0,-300.0, ,-4.0,-34.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.01,0.82,0.0,11.15
-38.0,-339.0, ,-20.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1071.0,0.83,0.01,10.39
-38.0,-799.0, ,-4.0,-31.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.82,0.0,11.22
-38.0,-353.0, ,-22.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.83,0.01,10.42
-37.0,-388.0, ,-22.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.83,0.01,10.43
-38.0,-783.0, ,-6.0,-10.0, ,-4.0,-19.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.82,0.0,11.21
-35.0,-346.0, ,-20.0,-8.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.83,0.01,10.4
-35.0,-324.0, ,-5.0,-33.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.99,0.82,0.0,11.23
-38.0,-432.0, ,-4.0,-34.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.98,0.82,0.0,11.24
-34.0,-776.0, ,-5.0,-30.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.98,0.82,0.0,11.26
-36.0,-539.0, ,-4.0,-34.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.98,0.82,0.0,11.27
-36.0,-378.0, ,-13.0,-50.0, ,-5.0,-17.0, ,-4.0,-20.0, ,-4.0,-4.0,1070.98,0.84,0.01,14.06
-37.0,-579.0, ,-4.0,-31.0, ,-4.0,-5.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.98,0.82,0.0,11.24
-33.0,-687.0, ,-4.0,-33.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.98,0.82,0.0,11.27
-38.0,-799.0, ,-5.0,-31.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.97,0.82,0.0,11.31
-36.0,-368.0, ,-20.0,-9.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.97,0.83,0.01,10.48
-38.0,-775.0, ,-6.0,-14.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.97,0.83,0.01,10.51
-37.0,-774.0, ,-4.0,-33.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.97,0.82,0.0,11.3
-38.0,-799.0, ,-5.0,-32.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.96,0.82,0.0,11.35
-34.0,-621.0, ,-4.0,-35.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.96,0.82,0.0,11.33
-33.0,-470.0, ,-4.0,-36.0, ,-4.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.96,0.82,0.0,11.32
-36.0,-799.0, ,-4.0,-32.0, ,-5.0,-4.0, ,-4.0,-4.0, ,-4.0,-4.0,1070.96,0.82,0.0,11.35
